,Country,Region,Surface,Population,Population_density,Sex-ratio,GDP,GDP_per_capita,Unemployment,Labour_force_participation,"Fertility rate, total (live births per woman)",Health: Total expenditure (% of GDP),Internet_per_100,CO2 emission estimates (million tons/tons per capita)
0,Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,623.2,8.6,19.3/83.6,5.3,8.2,42,63
1,Albania,SouthernEurope,28748,2930,106.9,101.9,11541,3984.2,15.8,40.2/61.0,1.7,5.9,130,84
2,Algeria,NorthernAfrica,2381741,41318,17.3,102.0,164779,4154.1,11.4,17.0/70.7,3.0,7.2,135,5900
3,American Samoa,Polynesia,199,56,278.2,103.6,-99,-99.0,...,.../...,2.6,-99.0,92,-99
4,Andorra,SouthernEurope,468,77,163.8,102.3,2812,39896.4,-99,-99,1.2,8.1,13,1
5,Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,4714.1,6.6,59.8/77.1,6.0,3.3,146,3902
6,Anguilla,Caribbean,91,15,165.7,97.6,320,21879.6,...,.../...,...,-99.0,52,0
7,Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,14764.5,...,.../...,2.1,5.5,55,-99
8,Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,14564.5,6.5,48.6/74.4,2.3,4.8,256,3167
9,Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3489.1,16.6,55.3/74.2,1.6,4.5,114,48
10,Aruba,Caribbean,180,105,584.8,90.4,2702,26005.4,...,58.8/69.6,1.8,-99.0,32,1
11,Australia,Oceania,7692060,24451,3.2,99.3,1230859,51352.2,5.5,58.4/70.7,1.9,9.4,948,15282
12,Austria,WesternEurope,83871,8736,106.0,96.2,376967,44117.7,6.2,54.6/65.8,1.4,11.2,118,505
13,Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,5438.7,5.2,62.0/68.8,2.1,6.0,97,2459
14,Bahamas,Caribbean,13940,395,39.5,95.9,8854,22817.2,14.7,69.4/79.1,1.8,7.7,86,0
15,Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,22600.2,1.3,38.5/84.9,2.1,5.0,36,961
16,Bangladesh,SouthernAsia,147570,164670,1265.0,101.7,194466,1207.9,4.0,43.2/81.1,2.2,2.8,151,1438
17,Barbados,Caribbean,431,286,664.5,91.9,4385,15429.4,11.3,61.8/70.0,1.8,7.5,56,2
18,Belarus,EasternEurope,207600,9468,46.7,87.0,54609,5750.8,0.5,54.0/67.8,1.6,5.7,25,155
19,Belgium,WesternEurope,30528,11429,377.5,97.3,455107,40277.8,8.3,48.1/58.9,1.8,10.6,37,520
20,Belize,CentralAmerica,22966,375,16.4,99.2,1721,4789.4,11.5,56.7/83.8,2.6,5.8,117,9
21,Benin,WesternAfrica,114763,11176,99.1,99.5,8476,779.1,1.0,70.0/73.4,5.2,4.6,88,96
22,Bermuda,NorthernAmerica,53,61,1227.0,91.4,5853,94399.9,6.7,72.6/80.0,1.5,-99.0,72,1
23,Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,2677.1,2.4,59.4/73.5,2.2,3.6,71,75
24,Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,32998,3076.8,3.8,64.1/82.6,3.0,6.3,231,962
25,"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99.0,-99,-99.0,-99,-99,-99,-99.0,56,0
26,Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,4265.0,25.4,34.3/57.5,1.3,9.6,91,252
27,Botswana,SouthernAfrica,582000,2292,4.0,97.7,14391,6360.6,18.6,73.6/81.6,2.9,5.4,28,47
28,Brazil,SouthAmerica,8515767,209288,25.0,96.6,1772591,8528.3,12.4,56.0/78.2,1.8,8.3,990,10948
29,British Virgin Islands,Caribbean,151,31,208.0,97.1,908,30144.5,-99,-99,...,-99.0,67,0
30,Brunei Darussalam,South-easternAsia,5765,429,81.3,106.0,12930,30552.7,2.1,50.6/75.0,1.9,2.6,193,679
31,Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,6846.8,8.1,48.5/60.1,1.5,8.4,104,474
32,Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,611.1,2.9,76.5/90.5,5.6,5.0,31,123
33,Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,244.6,1.7,84.6/82.7,6.0,7.5,61,56
34,Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1603,3080.2,10.5,53.7/84.6,2.5,4.8,65,2
35,Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,1158.7,0.3,75.6/87.0,2.7,5.7,255,178
36,Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,1217.3,4.6,71.1/81.2,5.0,4.1,775,408
37,Canada,NorthernAmerica,9984670,36624,4.0,98.5,1552808,43205.6,7.1,60.7/69.9,1.6,10.4,122,19276
38,Cayman Islands,Caribbean,264,62,256.5,100.4,3726,62132.0,6.3,80.6/85.6,...,-99.0,74,-99
39,Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,333.2,6.9,71.9/84.6,5.1,4.2,60,19
40,Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,713.0,5.8,64.0/79.3,6.3,3.6,43,288
41,Channel Islands,NorthernEurope,180,165,870.1,98.4,-99,-99.0,8.7,49.9/65.4,1.5,-99.0,-99,-99
42,Chile,SouthAmerica,756102,18055,24.3,98.2,240796,13416.2,6.8,50.7/74.7,1.8,7.8,197,540
43,"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,42431.0,3.5,52.6/67.8,1.2,-99.0,64,-99
44,"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,46178,78586.4,3.2,65.6/76.4,1.2,-99.0,11,2
45,China,EasternAsia,9600000,1409517,150.1,106.3,11158457,8109.1,4.6,63.0/77.7,1.6,5.5,1080,101394
46,Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,6056.1,10.5,58.0/79.8,1.9,7.2,835,5380
47,Comoros,EasternAfrica,2235,814,437.4,101.8,1079,1368.9,20.0,35.7/79.5,4.6,6.7,114,3
48,Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1838.1,11.5,67.1/72.6,4.9,5.2,134,648
49,Cook Islands,Polynesia,236,17,72.4,97.4,294,14118.7,8.2,65.4/76.6,2.6,3.4,75,-99
50,Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,11015.0,8.6,46.9/76.5,1.9,9.3,340,110
51,Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,11479.4,11.7,46.3/58.4,1.5,7.8,176,182
52,Cuba,Caribbean,109884,11485,107.9,100.1,87206,7656.6,3.0,42.1/68.3,1.7,11.1,339,212
53,Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,21941.9,10.3,57.8/70.4,1.4,7.4,72,5
54,Czechia,EasternEurope,78868,10618,137.5,96.7,185156,17561.7,3.9,51.3/67.8,1.5,7.4,53,1221
55,Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,16283,648.0,4.3,73.6/85.9,2.0,-99.0,78,871
56,Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,486.2,3.6,70.4/71.8,6.4,4.3,349,1179
57,Denmark,NorthernEurope,42921,5734,135.1,99.0,301308,53149.3,6.0,58.1/66.0,1.7,10.8,47,666
58,Djibouti,EasternAfrica,23200,957,41.3,100.7,1737,1956.3,6.6,36.5/68.5,3.1,10.6,98,3
59,Dominica,Caribbean,750,74,98.6,103.0,512,7051.1,...,.../...,...,5.5,66,0
60,Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,6373.6,14.4,52.3/78.6,2.5,4.4,184,28
61,Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,6205.1,5.8,49.1/79.9,2.6,9.2,2358,1247
62,Egypt,NorthernAfrica,1002000,97553,98.0,102.3,315917,3452.3,11.5,23.1/76.2,3.4,5.6,156,3509
63,El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,4219.4,6.4,49.5/79.5,2.2,6.8,86,86
64,Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124.0,13812,16344.1,7.7,71.5/91.8,5.0,3.8,177,841
65,Eritrea,EasternAfrica,117600,5069,50.2,100.4,4783,914.9,7.3,77.8/90.1,4.4,3.3,122,27
66,Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,17112.0,7.2,55.4/69.4,1.6,6.4,23,242
67,Ethiopia,EasternAfrica,1104300,104957,105.0,99.7,59917,602.8,5.7,77.1/89.1,4.6,4.9,148,1308
68,Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,110.5,-99,-99.0,1.2,77.2/86.0,-99,-99.0,23,0
69,Faroe Islands,NorthernEurope,1393,49,35.3,107.2,-99,-99.0,4.0,79.4/86.0,2.4,-99.0,21,1
70,Fiji,Melanesia,18272,906,49.6,103.1,4391,4921.9,7.7,37.0/71.2,2.6,4.5,291,8
71,Finland,NorthernEurope,338440,5523,18.2,97.2,231960,42148.1,8.9,54.5/61.7,1.8,9.7,36,757
72,France,WesternEurope,551500,64980,118.7,96.7,2418946,36304.2,9.8,50.3/59.4,2.0,11.5,278,5694
73,French Guiana,SouthAmerica,83534,283,3.4,100.0,-99,-99.0,21.3,48.4/58.8,3.5,-99.0,73,3
74,French Polynesia,Polynesia,4000,283,77.3,103.7,5135,18161.0,17.0,46.4/63.0,2.1,-99.0,175,1
75,Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,7960.7,18.1,40.7/58.3,4.0,3.4,270,559
76,Gambia,WesternAfrica,11295,2101,207.6,98.0,942,473.2,29.7,72.2/82.6,5.6,7.3,67,7
77,Georgia,WesternAsia,69700,3912,56.3,91.4,13965,3491.4,11.4,57.9/79.0,2.0,7.4,120,61
78,Germany,WesternEurope,357376,82114,235.6,97.0,3363600,41686.2,4.2,54.5/66.1,1.4,11.3,116,5004
79,Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,1355.6,5.9,75.7/78.8,4.2,3.6,238,410
80,Gibraltar,SouthernEurope,6,35,3457.1,101.8,-99,-99.0,-99,.../...,-99,-99.0,31,-99
81,Greece,SouthernEurope,131957,11160,86.6,96.9,194860,17788.0,23.0,44.1/60.1,1.3,8.1,374,368
82,Greenland,NorthernAmerica,2166086,56,0.1,112.1,2078,36976.7,9.7,-99,2.0,-99.0,23,2
83,Grenada,Caribbean,345,108,317.1,100.9,954,8933.8,...,-99,2.2,6.1,54,0
84,Guadeloupe,Caribbean,1705,450,266.0,86.4,-99,-99.0,26.1,49.6/56.5,2.0,-99.0,73,5
85,Guam,Micronesia,549,164,304.1,102.6,-99,-99.0,10.7,55.2/68.7,2.4,-99.0,99,-99
86,Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,3903.5,2.4,41.7/84.0,3.2,6.2,290,327
87,Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,530.0,6.5,67.4/78.5,4.9,5.6,77,25
88,Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,703.9,6.8,79.4/85.1,5.1,5.6,185,113
89,Guyana,SouthAmerica,214969,778,4.0,101.9,3282,4278.8,11.3,41.9/77.0,2.6,5.2,94,7
90,Haiti,Caribbean,27750,10981,398.4,97.8,8501,793.7,12.9,62.0/71.7,3.1,7.6,205,136
91,Holy See,SouthernEurope,~0,1,1800.0,219.2,-99,-99.0,-99,-99,-99,-99.0,1,-99
92,Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,2521.9,5.6,47.6/84.5,2.6,8.7,301,105
93,Hungary,EasternEurope,93024,9722,107.4,90.7,121715,12350.6,4.5,46.6/62.4,1.3,7.4,66,423
94,Iceland,NorthernEurope,103000,335,3.3,100.7,16780,50936.0,3.6,70.3/77.2,2.0,8.9,27,284
95,India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,1614.2,3.4,27.0/79.1,2.4,4.7,1052,23103
96,Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,3346.5,5.8,51.0/83.7,2.4,2.8,1281,19481
97,Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,5038.1,11.3,16.3/73.2,1.7,7.5,134,13291
98,Iraq,WesternAsia,435052,38275,88.1,102.5,164234,4509.0,16.1,15.3/69.9,4.6,5.5,72,6744
99,Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,60513.6,7.6,51.9/67.1,2.0,7.8,50,84
100,Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99.0,2.6,57.5/69.3,-99,-99.0,3,0
101,Israel,WesternAsia,22072,8322,384.5,98.7,299413,37129.4,5.9,58.5/69.0,3.0,7.8,174,313
102,Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,30462.4,11.4,39.2/57.8,1.4,9.2,359,1539
103,Jamaica,Caribbean,10990,2890,266.9,99.0,14262,5105.8,13.1,58.1/72.7,2.1,5.4,311,8
104,Japan,EasternAsia,377930,127484,349.7,95.4,4383076,34628.7,3.0,48.9/69.7,1.4,10.2,404,1114
105,Jordan,WesternAsia,89318,9702,109.3,102.6,37517,4940.1,13.4,14.5/64.5,3.6,7.5,113,7
106,Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,10312.1,5.6,66.3/77.5,2.7,4.4,82,7091
107,Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,1376.7,10.8,62.4/72.4,4.1,5.7,480,750
108,Kiribati,Micronesia,726,116,143.7,97.3,162,1442.9,...,.../...,3.8,10.2,104,0
109,Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,29303.9,2.2,47.7/83.6,2.0,3.0,49,6941
110,Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,1106.4,7.7,49.7/77.5,3.1,6.5,44,80
111,Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,1850.2,1.5,77.9/77.8,2.9,1.9,209,72
112,Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,13704.1,9.6,54.5/67.7,1.5,5.9,30,108
113,Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,8571.4,7.0,23.8/70.6,1.7,6.4,87,7
114,Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,940.6,27.5,59.7/74.6,3.3,10.6,18,31
115,Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,455.9,4.1,57.9/64.1,4.8,10.0,172,73
116,Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,5488.2,19.2,27.8/78.4,2.4,5.0,63,1505
117,Liechtenstein,WesternEurope,160,38,237.0,98.4,6361,169491.8,2.6,53.5/70.6,1.5,-99.0,6,1
118,Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,14383.7,9.2,54.1/66.1,1.6,6.6,26,74
119,Luxembourg,WesternEurope,2586,584,225.3,101.0,56802,100160.8,5.6,52.0/65.5,1.5,6.9,11,6
120,Madagascar,EasternAfrica,587295,25571,44.0,99.5,9739,401.8,2.3,83.8/89.0,4.4,3.0,1324,129
121,Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,372.9,6.8,81.3/81.0,4.9,11.4,176,89
122,Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,9768.4,3.3,49.3/77.8,2.1,4.2,1272,3738
123,Maldives,SouthernAsia,300,436,1454.4,131.8,3435,9446.5,2.9,57.8/79.6,2.2,13.7,75,0
124,Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,744.3,8.1,50.5/82.3,6.4,7.0,42,55
125,Malta,SouthernEurope,315,431,1346.4,100.9,9747,23280.7,5.4,39.4/65.7,1.4,9.7,39,1
126,Marshall Islands,Micronesia,181,53,295.2,104.5,183,3452.6,4.7,29.0/53.3,4.1,17.1,101,0
127,Martinique,Caribbean,1128,385,363.1,83.5,-99,-99.0,22.8,52.6/53.8,2.0,-99.0,48,1
128,Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1235.0,12.0,29.3/65.5,4.9,3.8,86,31
129,Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,9040.9,7.6,46.9/74.3,1.5,4.8,257,10
130,Mayotte,EasternAfrica,-99,253,674.8,96.7,-99,-99.0,-99,-99,4.1,-99.0,88,0
131,Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,8980.9,4.1,45.5/79.5,2.3,6.3,1162,8514
132,Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3015.2,-99,-99,3.3,13.7,167,0
133,Monaco,WesternEurope,2,39,25969.8,94.7,6258,165870.6,...,.../...,-99,4.3,21,-99
134,Mongolia,EasternAsia,1564116,3076,2.0,97.9,11758,3973.4,6.3,56.8/69.3,2.8,4.7,41,677
135,Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,6424.1,17.4,41.8/55.9,1.7,6.4,98,29
136,Montserrat,Caribbean,103,5,51.8,106.0,59,11553.4,5.6,.../...,...,-99.0,55,-99
137,Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,2919.3,10.4,25.6/74.5,2.6,5.9,207,78
138,Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,529.2,24.1,82.2/75.6,5.4,7.0,309,779
139,Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,1161.5,0.8,74.7/80.8,2.3,2.3,321,1078
140,Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,4673.6,24.9,56.4/64.3,3.6,-99.0,115,19
141,Nauru,Micronesia,21,11,568.0,101.9,189,18469.2,23.0,49.3/78.9,3.9,3.3,82,0
142,Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,724.5,3.0,79.7/86.7,2.3,5.8,104,451
143,Netherlands,WesternEurope,41542,17036,505.2,99.0,750318,44332.1,5.6,57.3/69.7,1.7,10.9,40,2447
144,New Caledonia,Melanesia,18575,276,15.1,101.5,8937,33965.7,15.1,45.5/66.9,2.2,-99.0,526,1
145,New Zealand,Oceania,268107,4706,17.9,96.7,173417,38294.3,5.5,62.1/72.8,2.0,11.0,199,783
146,Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,2086.9,6.1,49.6/80.6,2.3,9.0,144,91
147,Niger,WesternAfrica,1267000,21477,17.0,100.6,7143,359.0,2.7,40.4/89.2,7.4,6.0,34,101
148,Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2714.5,5.4,48.5/64.3,5.7,3.7,361,10851
149,Niue,Polynesia,260,2,6.2,100.0,-99,-99.0,...,.../...,2.6,7.4,52,0
150,Northern Mariana Islands,Micronesia,457,55,119.9,107.1,-99,-99.0,...,.../...,1.6,-99.0,102,-99
151,Norway,NorthernEurope,386194,5305,14.5,101.8,386578,74185.5,5.1,61.1/68.3,1.8,9.7,64,8204
152,Oman,WesternAsia,309500,4636,15.0,192.8,69832,15550.8,17.8,30.1/85.4,2.9,3.6,99,3101
153,Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,1410.4,5.9,24.8/82.5,3.7,2.6,140,2202
154,Palau,Micronesia,459,22,47.2,113.3,258,12122.5,...,.../...,2.2,9.0,182,-99
155,Panama,CentralAmerica,75320,4099,55.1,100.4,52132,13268.1,6.2,50.5/80.4,2.6,8.0,383,31
156,Papua New Guinea,Melanesia,462840,8251,18.2,103.5,21315,2797.6,2.5,69.6/71.2,3.8,4.3,493,114
157,Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,4174.4,5.5,58.3/84.7,2.6,9.8,59,325
158,Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,6069.1,5.3,66.1/82.8,2.5,5.5,685,1020
159,Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,2904.2,5.9,50.8/78.9,3.0,4.7,783,991
160,Poland,EasternEurope,312679,38171,124.6,93.4,477066,12355.5,5.3,49.1/64.9,1.3,6.4,58,2819
161,Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,19239.2,10.5,53.3/63.7,1.3,9.5,281,250
162,Puerto Rico,Caribbean,8868,3663,413.0,92.6,102906,27939.0,12.8,34.4/51.7,1.5,-99.0,126,1
163,Qatar,WesternAsia,11607,2639,227.3,301.2,164641,73653.4,0.3,53.1/93.6,2.0,2.2,39,9166
164,Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,27396.7,3.6,50.2/71.9,1.2,7.4,111,2023
165,Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,6475,1591.4,5.0,39.1/46.5,1.3,10.3,35,15
166,Romania,EasternEurope,238391,19679,85.5,94.0,177956,9120.7,7.1,47.3/64.5,1.5,5.6,104,1109
167,Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,9243.3,5.8,56.3/71.3,1.7,7.1,235,54829
168,Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,697.3,2.4,86.1/83.3,4.2,7.5,62,84
169,Saint Helena,WesternAfrica,308,4,10.4,-99.0,-99,-99.0,...,-99,-99,-99.0,100,0
170,Saint Kitts and Nevis,Caribbean,261,55,212.9,97.0,876,15771.9,...,.../...,-99,5.1,52,0
171,Saint Lucia,Caribbean,539,179,293.2,95.9,1450,7839.4,19.0,63.1/76.6,1.5,6.7,62,0
172,Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,98.2,-99,-99.0,-99,-99,-99,-99.0,12,0
173,Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,6739.2,19.1,56.4/76.9,2.0,8.6,58,0
174,Samoa,Polynesia,2842,196,69.4,106.6,774,4006.0,6.5,23.3/58.2,4.2,7.2,93,2
175,San Marino,SouthernEurope,61,33,556.7,94.9,1565,49240.2,6.6,.../...,...,6.1,1,-99
176,Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,1752.8,13.6,45.4/76.2,4.7,8.1,94,1
177,Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,20710.6,5.5,20.0/78.5,2.7,4.7,131,25904
178,Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,901.1,9.3,45.3/70.5,5.0,4.7,123,77
179,Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,5238.6,15.5,43.4/59.9,1.6,10.4,71,393
180,Seychelles,EasternAfrica,457,95,206.0,97.2,1363,14133.2,4.1,61.9/68.3,2.4,3.4,439,0
181,Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,694.8,3.1,65.1/68.8,4.8,11.1,177,53
182,Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,52239.0,2.0,57.8/76.1,1.2,4.9,293,27
183,Sint Maarten (Dutch part),Caribbean,34,40,1180.0,95.7,1094,28241.7,-99,-99,-99,-99.0,51,-99
184,Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,16082.5,9.9,51.4/68.0,1.4,8.1,54,264
185,Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,20689.8,8.1,51.8/62.2,1.6,9.2,143,154
186,Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,1841.6,31.4,61.1/73.5,4.1,5.1,245,3
187,Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,144.5,6.6,33.3/75.9,6.6,-99.0,175,129
188,South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,5773.0,26.0,46.4/61.1,2.6,8.8,581,7102
189,South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,1067.0,...,.../...,5.2,2.7,49,337
